region_id	source	annotationColor
0	fluorescence-a2-c0-fluorescence-a2-c1-fluorescence-a2-c2	128-205-0-255
1	fluorescence-a3-c0-fluorescence-a3-c1-fluorescence-a3-c2	255-205-0-255
